               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061106,            0.048907,           0.0052455,               0.614,             0.50841,             0.54787,             0.19922,            0.054602,             0.01747,           0.0014912,            0.070113,           0.0033208,           0.0033208
                   1,              0.0554,            0.046562,           0.0040064,              0.6535,             0.60048,             0.63025,              0.2218,            0.051666,            0.016124,           0.0012913,            0.040091,           0.0066322,           0.0066322
                   2,            0.053546,            0.045299,            0.003531,             0.65553,             0.58642,             0.61104,             0.22796,            0.050871,            0.015701,           0.0011251,            0.010047,           0.0099216,           0.0099216
                   3,            0.052831,            0.044922,           0.0033981,             0.59366,             0.50432,             0.51607,             0.18365,            0.056689,            0.018426,           0.0015135,            0.009901,            0.009901,            0.009901
                   4,            0.051582,            0.043583,           0.0032446,              0.6816,             0.62197,             0.66291,             0.26193,            0.049813,             0.01636,           0.0012092,            0.009901,            0.009901,            0.009901
                   5,            0.050676,            0.043094,           0.0029135,             0.65934,             0.63823,             0.64833,             0.24671,            0.050019,            0.015801,           0.0011537,            0.009868,            0.009868,            0.009868
                   6,             0.05018,            0.042523,            0.002809,             0.70725,             0.65347,             0.68097,             0.27435,             0.04819,            0.015649,            0.001424,            0.009835,            0.009835,            0.009835
                   7,            0.049727,            0.042896,           0.0027277,             0.68277,             0.63346,             0.66792,             0.25375,            0.047805,            0.015604,            0.001296,            0.009802,            0.009802,            0.009802
                   8,             0.04926,            0.042637,           0.0026456,             0.73505,             0.59962,             0.68591,             0.25153,            0.048593,            0.015686,           0.0014634,            0.009769,            0.009769,            0.009769
                   9,            0.048388,            0.041235,           0.0027064,             0.74581,             0.62388,             0.71628,              0.2905,            0.046778,            0.015301,           0.0011308,            0.009736,            0.009736,            0.009736
                  10,            0.047967,            0.040981,           0.0025142,             0.69455,             0.64943,             0.70001,              0.2776,            0.048107,            0.015209,           0.0011453,            0.009703,            0.009703,            0.009703
                  11,            0.047872,            0.041486,           0.0023427,             0.67308,             0.63863,             0.66715,             0.26343,            0.050974,            0.015622,           0.0013142,             0.00967,             0.00967,             0.00967
                  12,            0.047277,            0.041435,           0.0024539,             0.68558,             0.61271,             0.66798,             0.26473,            0.048686,            0.016138,            0.001269,            0.009637,            0.009637,            0.009637
                  13,            0.046905,            0.040347,           0.0021776,             0.69447,             0.60802,             0.66445,             0.27226,            0.050243,            0.015309,           0.0014584,            0.009604,            0.009604,            0.009604
                  14,            0.046785,            0.040673,           0.0022917,             0.66085,              0.6506,             0.67509,             0.26107,            0.048275,            0.016183,           0.0013035,            0.009571,            0.009571,            0.009571
                  15,            0.046667,            0.040527,           0.0023466,             0.71476,             0.61377,             0.65197,             0.25522,            0.048019,            0.015938,           0.0012885,            0.009538,            0.009538,            0.009538
                  16,            0.046157,            0.039908,           0.0022199,             0.70586,             0.60897,             0.66498,             0.26919,            0.048706,            0.015615,           0.0013908,            0.009505,            0.009505,            0.009505
                  17,            0.045822,            0.040232,           0.0020911,             0.71533,             0.65399,             0.69931,             0.28313,             0.04719,            0.015532,           0.0012505,            0.009472,            0.009472,            0.009472
                  18,            0.045296,            0.039303,           0.0019274,             0.73537,             0.59857,             0.66426,             0.25388,            0.048644,            0.015573,           0.0012128,            0.009439,            0.009439,            0.009439
                  19,            0.045237,             0.03997,           0.0018899,             0.67737,             0.66267,             0.69423,             0.27312,            0.048042,             0.01584,            0.001171,            0.009406,            0.009406,            0.009406
                  20,              0.0449,            0.039403,           0.0019737,               0.775,              0.6025,             0.70711,             0.29003,            0.047677,            0.015593,            0.001532,            0.009373,            0.009373,            0.009373
                  21,            0.044691,            0.039168,           0.0019037,             0.69813,             0.66613,             0.70445,             0.28363,            0.048342,            0.015592,            0.001149,             0.00934,             0.00934,             0.00934
                  22,            0.044141,            0.038718,           0.0019013,              0.6769,             0.64389,             0.70822,             0.29447,            0.047671,            0.015415,           0.0011817,            0.009307,            0.009307,            0.009307
                  23,            0.044056,             0.03894,           0.0018092,             0.69473,             0.62718,             0.67417,             0.26572,            0.048603,            0.015523,           0.0012922,            0.009274,            0.009274,            0.009274
                  24,            0.043806,            0.038578,           0.0017283,             0.73325,             0.67675,             0.72066,             0.31625,            0.045962,            0.015305,           0.0020604,            0.009241,            0.009241,            0.009241
                  25,             0.04363,            0.038519,           0.0017492,             0.72464,             0.64762,             0.71999,             0.28759,            0.047663,            0.015772,           0.0013737,            0.009208,            0.009208,            0.009208
                  26,            0.043183,            0.038212,           0.0016973,             0.70064,             0.66169,             0.71378,             0.27407,            0.047307,            0.015746,           0.0011999,            0.009175,            0.009175,            0.009175
                  27,            0.043409,            0.038266,            0.001631,             0.62279,             0.65762,             0.66595,              0.2729,            0.049654,            0.015775,           0.0020582,            0.009142,            0.009142,            0.009142
                  28,            0.042757,            0.038547,           0.0016512,             0.65851,             0.66259,             0.65018,             0.26088,            0.048951,            0.016209,           0.0017566,            0.009109,            0.009109,            0.009109
                  29,            0.042687,            0.037167,           0.0016952,             0.68213,             0.62793,             0.64749,             0.25759,            0.047893,            0.015754,             0.00135,            0.009076,            0.009076,            0.009076
                  30,            0.042478,            0.037352,           0.0016471,              0.7002,             0.65187,             0.67422,             0.27008,            0.050251,            0.015812,           0.0013296,            0.009043,            0.009043,            0.009043
                  31,            0.042278,            0.037577,           0.0016605,             0.72208,             0.63004,             0.68453,             0.29042,            0.047835,            0.015765,           0.0013905,             0.00901,             0.00901,             0.00901
                  32,            0.042209,            0.037611,           0.0017088,             0.71862,             0.66401,             0.70316,             0.28111,            0.047737,            0.015464,           0.0015802,            0.008977,            0.008977,            0.008977
                  33,            0.041884,            0.037093,           0.0015758,             0.71744,             0.65759,             0.68323,              0.2899,            0.047701,            0.015679,           0.0013013,            0.008944,            0.008944,            0.008944
                  34,            0.041361,            0.037533,           0.0014394,             0.78061,             0.64868,             0.71986,             0.29553,            0.046655,            0.015501,           0.0013294,            0.008911,            0.008911,            0.008911
                  35,            0.041265,            0.037055,           0.0015216,             0.73939,             0.65332,             0.68542,              0.2783,            0.048258,            0.015507,           0.0011487,            0.008878,            0.008878,            0.008878
                  36,            0.041056,            0.036716,             0.00152,             0.74709,             0.70725,             0.69913,             0.27977,            0.048273,            0.015948,           0.0013379,            0.008845,            0.008845,            0.008845
                  37,             0.04081,            0.036613,           0.0013739,             0.81734,              0.6342,             0.72179,             0.29233,            0.048221,            0.015672,           0.0014196,            0.008812,            0.008812,            0.008812
                  38,            0.040907,            0.036251,           0.0014474,             0.68209,             0.70487,              0.6994,             0.26783,              0.0486,            0.015786,           0.0014035,            0.008779,            0.008779,            0.008779
                  39,            0.040874,            0.036171,           0.0014855,             0.69854,             0.66341,             0.67913,             0.25668,            0.049348,            0.015645,           0.0015948,            0.008746,            0.008746,            0.008746
                  40,            0.040273,            0.036725,           0.0014519,             0.70098,             0.65279,             0.68644,             0.27251,            0.048677,            0.015678,           0.0012361,            0.008713,            0.008713,            0.008713
                  41,            0.040437,            0.035974,           0.0014226,               0.726,             0.65592,             0.68788,             0.28206,            0.047609,            0.016373,           0.0013353,             0.00868,             0.00868,             0.00868
                  42,            0.039952,            0.035847,           0.0013111,             0.75292,             0.66821,             0.68929,             0.27657,            0.048123,            0.016029,            0.001348,            0.008647,            0.008647,            0.008647
                  43,            0.040068,             0.03592,             0.00137,             0.71617,             0.66846,             0.69107,              0.2825,            0.047178,            0.015807,           0.0014323,            0.008614,            0.008614,            0.008614
                  44,            0.039678,            0.035706,           0.0013608,             0.70718,             0.67489,             0.68103,             0.26707,             0.04774,            0.016065,           0.0012148,            0.008581,            0.008581,            0.008581
                  45,            0.039584,            0.035347,           0.0013812,             0.72422,             0.64845,             0.67238,             0.28253,            0.047722,            0.016232,           0.0016312,            0.008548,            0.008548,            0.008548
                  46,            0.039453,            0.035313,           0.0012319,             0.67169,              0.7146,             0.68203,             0.27353,            0.046966,            0.016087,           0.0013077,            0.008515,            0.008515,            0.008515
                  47,            0.039359,            0.035355,            0.001343,             0.71734,             0.63633,             0.66664,             0.27365,            0.047975,            0.016365,           0.0013955,            0.008482,            0.008482,            0.008482
                  48,            0.038937,            0.035595,           0.0012557,              0.7193,             0.67561,             0.69675,             0.29032,            0.047061,            0.015959,           0.0013115,            0.008449,            0.008449,            0.008449
                  49,            0.038746,            0.035031,           0.0012292,             0.68822,             0.67213,             0.70244,             0.29052,            0.047362,            0.016082,           0.0011074,            0.008416,            0.008416,            0.008416
                  50,            0.038813,            0.034617,           0.0013471,             0.71891,             0.68401,             0.70435,              0.2992,             0.04704,            0.016079,           0.0014025,            0.008383,            0.008383,            0.008383
                  51,              0.0384,            0.034274,           0.0012846,             0.72048,             0.69772,             0.71898,             0.30408,            0.047061,             0.01593,           0.0013577,             0.00835,             0.00835,             0.00835
                  52,            0.038378,            0.034711,           0.0012068,             0.65613,             0.68668,              0.6634,             0.28543,            0.047414,             0.01624,           0.0010999,            0.008317,            0.008317,            0.008317
                  53,            0.038383,            0.034627,           0.0012226,             0.72161,             0.62367,             0.65347,             0.27821,            0.048355,            0.016375,           0.0015437,            0.008284,            0.008284,            0.008284
                  54,            0.038112,            0.033888,           0.0012515,             0.70195,              0.6959,             0.70004,             0.28792,            0.046815,            0.016221,           0.0013591,            0.008251,            0.008251,            0.008251
